CODE,CATEGORY
43199000000,RX_LOOP_DIURETIC
66267000000,RX_ACE
51285000000,RX_BBLOCKER
72572000000,RX_BBLOCKER
58016000000,RX_LOOP_DIURETIC
725015710,RX_ACE
603454321,RX_THIAZIDE
70771000000,RX_BBLOCKER
10135000000,RX_THIAZIDE
55175000000,RX_ACE
456140500,RX_THIAZIDE
83004632,RX_ACE
64679000000,RX_NITRATES
71209000000,RX_LOOP_DIURETIC
143176925,RX_THIAZIDE
7034125,RX_THIAZIDE
65862000000,RX_BBLOCKER
65862000000,RX_ACE
65862000000,
228265911,RX_BBLOCKER
71335000000,RX_LOOP_DIURETIC
67544000000,RX_THIAZIDE
70518000000,RX_NITRATES
51129000000,RX_LOOP_DIURETIC
50742000000,RX_ACE
58016000000,RX_ACE
71335000000,
894777202,RX_ACE
31722000000,
52959000000,RX_THIAZIDE
93521301,RX_THIAZIDE
59229000000,RX_ACE
364051301,
25207830,RX_THIAZIDE
6063468,RX_BBLOCKER
68071000000,
66685000000,RX_ACE
58016000000,RX_ACE
603237132,RX_THIAZIDE
54569000000,RX_BBLOCKER
54921000000,RX_THIAZIDE
12634000000,RX_ACE
33261000000,RX_THIAZIDE
51138000000,RX_ACE
51138000000,RX_ACE
51138000000,
71930000000,
65862000000,RX_THIAZIDE
12634000000,RX_ACE
60505000000,
536424401,RX_LOOP_DIURETIC
536424501,RX_THIAZIDE
54570000000,RX_BBLOCKER
54124000000,RX_LOOP_DIURETIC
55155000000,RX_THIAZIDE
54319246,RX_LOOP_DIURETIC
57297000000,RX_NITRATES
53489000000,
63630000000,RX_ACE
62584000000,RX_NITRATES
839601706,RX_BBLOCKER
70518000000,RX_BBLOCKER
51432000000,RX_THIAZIDE
31722000000,RX_BBLOCKER
5322043,RX_ACE
46708000000,RX_ACE
65862000000,
53746000000,RX_THIAZIDE
58016000000,RX_BBLOCKER
62541000000,RX_ACE
67544000000,RX_BBLOCKER
52343000000,RX_ACE
182116110,
50268000000,RX_THIAZIDE
54569000000,RX_ACE
54569000000,RX_BBLOCKER
57237000000,RX_BBLOCKER
55111000000,
72789000000,RX_ACE
677159301,RX_DIGOXIN
58016000000,RX_ACE
58016000000,RX_ACE
71335000000,RX_DIGOXIN
62332000000,RX_BBLOCKER
172296349,RX_THIAZIDE
81024917,RX_THIAZIDE
580016901,RX_BBLOCKER
23490000000,RX_ACE
51138000000,RX_BBLOCKER
51728000000,RX_BBLOCKER
60505000000,RX_THIAZIDE
63629000000,RX_BBLOCKER
70771000000,RX_BBLOCKER
60312000000,RX_THIAZIDE
55648000000,RX_ACE
182263405,
63187000000,
57480000000,RX_ACE
46708000000,RX_NITRATES
50090000000,
68115000000,RX_NITRATES
58016000000,RX_NITRATES
781100805,RX_LOOP_DIURETIC
58016000000,
55700000000,RX_BBLOCKER
58118000000,RX_THIAZIDE
89130130,RX_ACE
23155000000,RX_ACE
71335000000,RX_ACE
42254000000,RX_BBLOCKER
52728000000,
23491000000,RX_ACE
9002402,RX_BBLOCKER
53002000000,RX_THIAZIDE
63187000000,RX_ACE
61392000000,RX_THIAZIDE
71335000000,RX_BBLOCKER
63630000000,RX_THIAZIDE
615156453,RX_ACE
68071000000,RX_THIAZIDE
61392000000,RX_ACE
781150710,RX_ACE
63874000000,RX_NITRATES
58016000000,RX_ACE
54569000000,RX_ACE
68789000000,RX_THIAZIDE
68071000000,RX_THIAZIDE
71335000000,RX_BBLOCKER
71205000000,RX_ACE
61570000000,RX_BBLOCKER
43547000000,RX_BBLOCKER
63629000000,RX_THIAZIDE
58016000000,RX_THIAZIDE
43353000000,RX_THIAZIDE
11534000000,RX_BBLOCKER
66267000000,RX_BBLOCKER
49884000000,
83007165,RX_BBLOCKER
50090000000,RX_BBLOCKER
57451000000,
68071000000,RX_BBLOCKER
55045000000,RX_LOOP_DIURETIC
839503706,RX_BBLOCKER
58118000000,RX_ACE
64980000000,RX_BBLOCKER
64980000000,RX_BBLOCKER
70518000000,RX_BBLOCKER
61392000000,RX_DIGOXIN
591084330,RX_ACE
247075700,RX_THIAZIDE
10609000000,
52213000000,RX_ACE
42291000000,RX_THIAZIDE
58016000000,RX_BBLOCKER
68084000000,RX_THIAZIDE
50228000000,RX_ACE
364053802,RX_ACE
58016000000,RX_BBLOCKER
68462000000,RX_NITRATES
43063000000,
66267000000,RX_ACE
69097000000,RX_NITRATES
69097000000,RX_LOOP_DIURETIC
349848610,RX_BBLOCKER
54868000000,RX_ACE
53104000000,RX_ACE
12634000000,
677147810,RX_BBLOCKER
58016000000,RX_BBLOCKER
172215180,RX_THIAZIDE
78167334,RX_BBLOCKER
63630000000,RX_THIAZIDE
49856000000,RX_ACE
54869000000,RX_THIAZIDE
68083000000,RX_BBLOCKER
71335000000,RX_BBLOCKER
904644974,RX_LOOP_DIURETIC
51129000000,RX_ACE
55048000000,RX_THIAZIDE
68789000000,
25021000000,
62175000000,RX_LOOP_DIURETIC
63187000000,RX_THIAZIDE
51991000000,RX_LOOP_DIURETIC
54569000000,RX_NITRATES
43353000000,RX_BBLOCKER
64679000000,RX_LOOP_DIURETIC
310014195,RX_BBLOCKER
60491000000,RX_DIGOXIN
143117310,
46708000000,RX_NITRATES
58118000000,RX_THIAZIDE
68382000000,
71335000000,
58016000000,RX_BBLOCKER
54569000000,RX_THIAZIDE
49884000000,RX_BBLOCKER
57844000000,RX_ACE
57866000000,RX_ACE
55887000000,
51655000000,RX_LOOP_DIURETIC
71610000000,
71610000000,RX_ACE
65841000000,RX_DIGOXIN
55289000000,RX_ACE
71335000000,RX_THIAZIDE
33261000000,RX_THIAZIDE
68789000000,RX_BBLOCKER
615158401,RX_BBLOCKER
832020500,RX_BBLOCKER
49999000000,RX_ACE
228209410,RX_THIAZIDE
11845000000,RX_BBLOCKER
247087900,RX_BBLOCKER
247105100,RX_THIAZIDE
247106577,RX_BBLOCKER
66267000000,RX_ACE
58864000000,RX_BBLOCKER
12634000000,RX_THIAZIDE
63629000000,RX_LOOP_DIURETIC
54570000000,RX_NITRATES
50090000000,RX_NITRATES
57664000000,RX_NITRATES
51285000000,RX_ACE
16590000000,RX_ACE
58016000000,RX_THIAZIDE
67544000000,RX_LOOP_DIURETIC
63630000000,RX_BBLOCKER
84074710,RX_ACE
58016000000,RX_NITRATES
68001000000,RX_ACE
62332000000,RX_BBLOCKER
55700000000,RX_ACE
51660000000,RX_ACE
65243000000,RX_NITRATES
5370931,RX_NITRATES
50752000000,RX_ACE
70377000000,RX_ACE
68180000000,RX_DIGOXIN
50090000000,RX_NITRATES
50090000000,
147012720,RX_ACE
66685000000,
66003000000,RX_NITRATES
185047110,RX_ACE
71335000000,RX_BBLOCKER
61392000000,RX_NITRATES
85330602,RX_ACE
49856000000,
58016000000,RX_THIAZIDE
51138000000,RX_THIAZIDE
58016000000,RX_BBLOCKER
68071000000,RX_ACE
12634000000,RX_THIAZIDE
52152000000,
60346000000,
66267000000,RX_ACE
58016000000,RX_ACE
67544000000,RX_LOOP_DIURETIC
58016000000,RX_BBLOCKER
21695000000,RX_ACE
50090000000,RX_LOOP_DIURETIC
405489301,RX_THIAZIDE
43806000000,RX_ACE
68552000000,RX_THIAZIDE
68071000000,RX_LOOP_DIURETIC
63874000000,RX_THIAZIDE
66336000000,RX_THIAZIDE
591231610,RX_ACE
50742000000,RX_THIAZIDE
904285360,
60440000000,RX_ACE
68382000000,RX_ACE
68382000000,RX_THIAZIDE
21695000000,RX_BBLOCKER
35356000000,RX_BBLOCKER
49349000000,RX_ACE
65243000000,RX_ACE
719122513,RX_THIAZIDE
51316000000,RX_BBLOCKER
63630000000,RX_BBLOCKER
50091000000,RX_BBLOCKER
54569000000,
68789000000,RX_THIAZIDE
185070101,RX_ACE
63629000000,RX_THIAZIDE
17224000000,RX_ACE
35356000000,RX_BBLOCKER
839711706,
52446000000,RX_THIAZIDE
172208971,RX_ACE
12634000000,
66267000000,RX_BBLOCKER
33342000000,RX_LOOP_DIURETIC
63629000000,RX_THIAZIDE
53217000000,
57866000000,RX_THIAZIDE
26053000000,RX_BBLOCKER
615795739,RX_THIAZIDE
62269000000,RX_BBLOCKER
67544000000,
28595000000,RX_BBLOCKER
43353000000,RX_THIAZIDE
59564000000,RX_THIAZIDE
21695000000,
67544000000,RX_ACE
378021305,RX_BBLOCKER
58768000000,RX_THIAZIDE
58016000000,RX_DIGOXIN
48695000000,RX_BBLOCKER
50742000000,RX_BBLOCKER
47202000000,RX_THIAZIDE
54697000000,RX_ACE
68669000000,RX_ACE
58016000000,RX_BBLOCKER
55154000000,RX_ACE
364248202,RX_NITRATES
54868000000,RX_BBLOCKER
71335000000,RX_BBLOCKER
58016000000,
63187000000,RX_ACE
13107000000,
179116802,RX_ACE
52959000000,RX_ACE
10019000000,
12634000000,RX_THIAZIDE
63629000000,RX_ACE
615138331,RX_ACE
62627000000,RX_THIAZIDE
46672000000,RX_ACE
63187000000,RX_THIAZIDE
54868000000,RX_BBLOCKER
11735000000,RX_THIAZIDE
363690110,RX_THIAZIDE
54441000000,
16729000000,RX_ACE
756025000,RX_BBLOCKER
